pair_id,architecture,reference_path,search_path,metadata_path,true_x,true_y,scale_ratio,rotation_deg,noise_severity,seed,pred_x,pred_y,euclidean_error_px,confidence,runtime_sec,pass_5px,pass_4px,pass_2px,pass_1px,pass_subpixel
pair_012,FinFET,results/dataset\pair_012_ref.png,results/dataset\pair_012_search.png,results/dataset\pair_012_meta.json,258.0,251.0,9.75,0.0,1.0,1012,506.0148,530.7726,373.877,0.8955,1.68781,0,0,0,0,0
pair_013,DRAM,results/dataset\pair_013_ref.png,results/dataset\pair_013_search.png,results/dataset\pair_013_meta.json,400.0,574.0,10.0,1.0,1.25,1013,516.9033,511.9049,132.3714,0.9433,1.68667,0,0,0,0,0
pair_014,FinFET,results/dataset\pair_014_ref.png,results/dataset\pair_014_search.png,results/dataset\pair_014_meta.json,477.0,383.0,10.25,2.0,1.5,1014,503.8767,522.1654,141.737,0.8609,1.69029,0,0,0,0,0
pair_015,DRAM,results/dataset\pair_015_ref.png,results/dataset\pair_015_search.png,results/dataset\pair_015_meta.json,708.0,301.0,10.5,-2.0,0.5,1015,500.5379,474.0,270.1287,0.9587,1.70552,0,0,0,0,0
pair_016,FinFET,results/dataset\pair_016_ref.png,results/dataset\pair_016_search.png,results/dataset\pair_016_meta.json,636.0,787.0,10.75,-1.0,0.75,1016,489.331,504.3482,318.4397,0.9335,2.00299,0,0,0,0,0
pair_017,DRAM,results/dataset\pair_017_ref.png,results/dataset\pair_017_search.png,results/dataset\pair_017_meta.json,239.0,726.0,11.0,0.0,1.0,1017,516.8993,486.223,367.0436,0.9403,1.94115,0,0,0,0,0
pair_018,FinFET,results/dataset\pair_018_ref.png,results/dataset\pair_018_search.png,results/dataset\pair_018_meta.json,513.0,275.0,9.0,1.0,1.25,1018,489.2662,485.4521,211.7862,0.8738,2.01073,0,0,0,0,0
pair_019,DRAM,results/dataset\pair_019_ref.png,results/dataset\pair_019_search.png,results/dataset\pair_019_meta.json,269.0,790.0,9.25,2.0,1.5,1019,495.7251,481.866,382.5583,0.9188,1.92422,0,0,0,0,0
pair_020,FinFET,results/dataset\pair_020_ref.png,results/dataset\pair_020_search.png,results/dataset\pair_020_meta.json,367.0,597.0,9.5,-2.0,0.5,1020,493.0749,531.344,142.1464,0.9433,1.89374,0,0,0,0,0
pair_021,DRAM,results/dataset\pair_021_ref.png,results/dataset\pair_021_search.png,results/dataset\pair_021_meta.json,473.0,361.0,9.75,-1.0,0.75,1021,509.2726,481.6062,125.9427,0.9549,1.82759,0,0,0,0,0
pair_022,FinFET,results/dataset\pair_022_ref.png,results/dataset\pair_022_search.png,results/dataset\pair_022_meta.json,596.0,613.0,10.0,0.0,1.0,1022,493.898,473.0328,173.2502,0.8978,1.84691,0,0,0,0,0
pair_023,DRAM,results/dataset\pair_023_ref.png,results/dataset\pair_023_search.png,results/dataset\pair_023_meta.json,783.0,747.0,10.25,1.0,1.25,1023,496.6216,511.8484,370.5521,0.9404,1.84266,0,0,0,0,0
pair_024,FinFET,results/dataset\pair_024_ref.png,results/dataset\pair_024_search.png,results/dataset\pair_024_meta.json,692.0,408.0,10.5,2.0,1.5,1024,491.4578,484.7157,214.7148,0.8448,1.90068,0,0,0,0,0
pair_025,DRAM,results/dataset\pair_025_ref.png,results/dataset\pair_025_search.png,results/dataset\pair_025_meta.json,496.0,205.0,10.75,-2.0,0.5,1025,484.326,504.7675,299.9948,0.9687,9.8734,0,0,0,0,0
pair_026,FinFET,results/dataset\pair_026_ref.png,results/dataset\pair_026_search.png,results/dataset\pair_026_meta.json,347.0,610.0,11.0,-1.0,0.75,1026,497.6917,472.4479,204.0308,0.9358,4.29994,0,0,0,0,0
pair_027,DRAM,results/dataset\pair_027_ref.png,results/dataset\pair_027_search.png,results/dataset\pair_027_meta.json,299.0,675.0,9.0,0.0,1.0,1027,497.0,495.0595,267.5492,0.9334,1.89952,0,0,0,0,0
pair_028,FinFET,results/dataset\pair_028_ref.png,results/dataset\pair_028_search.png,results/dataset\pair_028_meta.json,495.0,729.0,9.25,1.0,1.25,1028,488.99,519.0259,210.0601,0.8867,1.74565,0,0,0,0,0
pair_029,DRAM,results/dataset\pair_029_ref.png,results/dataset\pair_029_search.png,results/dataset\pair_029_meta.json,392.0,342.0,9.5,2.0,1.5,1029,515.5133,517.745,214.8065,0.9233,1.71788,0,0,0,0,0
pair_030,FinFET,results/dataset\pair_030_ref.png,results/dataset\pair_030_search.png,results/dataset\pair_030_meta.json,689.0,256.0,9.75,-2.0,0.5,1030,505.5024,460.0,274.3855,0.9399,1.7786,0,0,0,0,0
pair_031,DRAM,results/dataset\pair_031_ref.png,results/dataset\pair_031_search.png,results/dataset\pair_031_meta.json,327.0,625.0,10.0,-1.0,0.75,1031,487.6151,507.825,198.8144,0.962,2.29024,0,0,0,0,0
pair_032,FinFET,results/dataset\pair_032_ref.png,results/dataset\pair_032_search.png,results/dataset\pair_032_meta.json,416.0,767.0,10.25,0.0,1.0,1032,488.9236,487.0573,289.285,0.8972,1.80802,0,0,0,0,0
pair_033,DRAM,results/dataset\pair_033_ref.png,results/dataset\pair_033_search.png,results/dataset\pair_033_meta.json,482.0,207.0,10.5,1.0,1.25,1033,485.2481,506.9695,299.987,0.9328,1.76113,0,0,0,0,0
pair_034,FinFET,results/dataset\pair_034_ref.png,results/dataset\pair_034_search.png,results/dataset\pair_034_meta.json,623.0,741.0,10.75,2.0,1.5,1034,485.2616,465.5685,307.9519,0.8494,1.65,0,0,0,0,0
pair_035,DRAM,results/dataset\pair_035_ref.png,results/dataset\pair_035_search.png,results/dataset\pair_035_meta.json,232.0,780.0,11.0,-2.0,0.5,1035,481.1268,488.5514,383.4142,0.9672,1.71972,0,0,0,0,0
